,experiment,dice_score
219,Study-MCUNet-83316,75.52726141723954
220,Study-MCUNet-83761,82.38716390670196
221,Study-MCUNet-83877,80.45195650690579
222,Study-MCUNet-83985,75.67406315387085
223,Study-MCUNet-84196,79.49213482615791
224,Study-MCUNet-84366,70.86360757008549
225,Study-MCUNet-84718,73.81553475857405
226,Study-MCUNet-84863,68.49013767864905
227,Study-MCUNet-85096,78.75940361965263
228,Study-MCUNet-85097,82.60914781805664
229,Study-MCUNet-85825,86.19433926830271
230,Study-MCUNet-86325,38.621255068182705
231,Study-MCUNet-86599,77.3067838137425
232,Study-MCUNet-8689,80.16198184800834
233,Study-MCUNet-87077,65.83279228399196
234,Study-MCUNet-8724,80.11869736350312
235,Study-MCUNet-87497,82.75266483363258
236,Study-MCUNet-87907,67.32178047217606
237,Study-MCUNet-88029,70.03824506948044
238,Study-MCUNet-88562,80.08374069376445
239,Study-MCUNet-88691,82.28143395406995
240,Study-MCUNet-88943,59.89442479201739
241,Study-MCUNet-89092,84.864417047833
242,Study-MCUNet-91357,85.05605361532987
243,Study-MCUNet-92497,68.60766461495786
244,Study-MCUNet-92534,81.83407965990905
245,Study-MCUNet-92639,73.57560674051915
246,Study-MCUNet-92854,86.53728054600747
247,Study-MCUNet-93118,77.4307704535639
248,Study-MCUNet-94173,67.07626005991303
249,Study-MCUNet-94515,1.09488380637457
250,Study-MCUNet-94601,71.29083922159877
251,Study-MCUNet-94768,60.88282377094504
252,Study-MCUNet-95626,70.88777714772614
253,Study-MCUNet-96021,79.48011001555444
254,Study-MCUNet-96154,79.8217418022864
255,Study-MCUNet-9621,80.43496029539921
256,Study-MCUNet-9662,76.18888103615936
